##############################################################################################################################################################################################################
# PDG MC Codes and Data
# mass and width(gamma) are in GeV.
# not all the mass/width are correct, uncertainties dMass and dWidth are missing.
##########################################################################################################################################################################################################################################################
# Name                        LatexTitle                            PDG-MC     Charge           Mass          dMass         Width          dWidth      Spin   Isospin        I3     Quark AntiQuark    Lepton
# Name                        LatexTitle                            PDG-MC     Charge           Mass          dMass         Width          dWidth      Spin   Isospin        I3     Quark AntiQuark    Lepton
##############################################################################################################################################################################################################
# Quarks
##############################################################################################################################################################################################################
rho1700minus                  #rho^{-}(1700)                         -30213    -1.000       1.700000       0.000000       0.240000       0.000000       1.0       1.0      -1.0        1        10          0
rho1700zero                   #rho^{0}(1700)                          30113     0.000       1.700000       0.000000       0.240000       0.000000       1.0       1.0       0.0        11        11         0
rho1690plus                   #rho^{+}(1690)                            217     1.000       1.691000       0.000000       0.161000       0.000000       3.0       1.0       1.0        10         1         0
rho1690minus                  #rho^{-}(1690)                           -217    -1.000       1.691000       0.000000       0.161000       0.000000       3.0       1.0      -1.0         1        10          0
rho1690zero                   #rho^{0}(1690)                            117     0.000       1.691000       0.000000       0.161000       0.000000       0.0       1.0       0.0        11        11         0
phi1680zero                   #phi^{0}(1680)                         100333     0.000       1.680000       0.000000       0.150000       0.000000       1.0       0.0       0.0       100       100         0
pion1670plus                  #pion^{+}(1670)                         10215     1.000       1.670000       0.000000       0.259000       0.000000       2.0       1.0       1.0        10         1         0
pion1670minus                 #pi^{-}(1670)                          -10215    -1.000       1.670000       0.000000       0.259000       0.000000       2.0       1.0      -1.0         1        10         0
pion1670zero                  #pi^{0}(1670)                           10115     0.000       1.670000       0.000000       0.259000       0.000000       2.0       1.0       0.0        11        11         0
omega1670zero                 #omega^{0}(1670)                          227     0.000       1.667000       0.000000       0.168000       0.000000       3.0       0.0       0.0        11        11         0
omega1650zero                 #omega^{0}(1650)                        30223     0.000       1.649000       0.000000       0.220000       0.000000       1.0       0.0       0.0        11        11         0
f01500zero                    f_{0}^{0}(1500)                       9000223     0.000       1.507000       0.000000       0.112000       0.000000       0.0       0.0       0.0        11        11         0
a01450plus                    a_{0}^{+}(1450)                         10211     1.000       1.474000       0.000000       0.265000       0.000000       0.0       1.0       1.0        10         1         0
a01450minus                   a_{0}^{-}(1450)                        -10211    -1.000       1.474000       0.000000       0.265000       0.000000       0.0       1.0      -1.0         1        10         0
a01450zero                    a_{0}^{0}(1450)                         10111     0.000       1.474000       0.000000       0.265000       0.000000       0.0       1.0       0.0        11        11         0
